region_user,cell_type_label,role,cluster,subclass,supertype,n_cells_in_cluster,n_pos_markers_total,n_pos_markers_in_data,n_neg_markers_in_data,mean_pos_log2,mean_neg_log2,pct_pos_avg,pct_neg_avg,n_pos_above_30pct,frac_pos_above_30pct,net_score,specificity,rank_within_celltype
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,0859 Sst Chodl Gaba_4,056 Sst Chodl Gaba,0241 Sst Chodl Gaba_4,24,13,13,4,5.0184,0.5298,60.9,9.38,9,0.692,4.8347,7.9677,1
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,1258 MEA-BST Lhx6 Sp9 Gaba_5,074 MEA-BST Lhx6 Sp9 Gaba,0351 MEA-BST Lhx6 Sp9 Gaba_5,127,13,13,4,4.7215,0.5343,60.15,9.25,9,0.692,4.5334,7.444,2
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,0850 Sst Chodl Gaba_2,056 Sst Chodl Gaba,0239 Sst Chodl Gaba_2,61,13,13,4,4.571,0.6092,57.0,10.66,8,0.615,4.2695,6.4455,3
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,0861 Sst Chodl Gaba_5,056 Sst Chodl Gaba,0242 Sst Chodl Gaba_5,37,13,13,4,4.2796,0.2811,48.86,5.41,6,0.462,4.2292,11.2291,4
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,neighbor_control,0852 Sst Chodl Gaba_2,056 Sst Chodl Gaba,0239 Sst Chodl Gaba_2,25,13,13,4,4.2963,0.5489,52.62,10.0,8,0.615,4.0551,6.6211,5
BMAp,BMA/MEA VGLUT2-like excitatory,target,2009 MEA-COA-BMA Ccdc42 Glut_3,113 MEA-COA-BMA Ccdc42 Glut,0507 MEA-COA-BMA Ccdc42 Glut_3,41,10,10,3,4.8852,0.5103,60.24,9.76,7,0.7,4.7249,8.0047,1
BMAp,BMA/MEA VGLUT2-like excitatory,target,2008 MEA-COA-BMA Ccdc42 Glut_3,113 MEA-COA-BMA Ccdc42 Glut,0507 MEA-COA-BMA Ccdc42 Glut_3,1043,10,10,3,4.6242,0.6246,60.81,12.14,8,0.8,4.3997,6.3819,2
BMAp,BMA/MEA VGLUT2-like excitatory,target,2207 MEA Otp Foxp2 Glut_1,120 MEA Otp Foxp2 Glut,0538 MEA Otp Foxp2 Glut_1,82,10,10,3,4.3625,0.5912,61.34,11.38,7,0.7,4.1213,6.3112,3
BMAp,BMA/MEA VGLUT2-like excitatory,target,2204 MEA Otp Foxp2 Glut_1,120 MEA Otp Foxp2 Glut,0538 MEA Otp Foxp2 Glut_1,1215,10,10,3,4.4303,0.6271,60.6,12.15,6,0.6,4.1032,6.0932,4
BMAp,BMA/MEA VGLUT2-like excitatory,target,2011 MEA-COA-BMA Ccdc42 Glut_4,113 MEA-COA-BMA Ccdc42 Glut,0508 MEA-COA-BMA Ccdc42 Glut_4,53,10,10,3,4.2159,0.5905,54.72,10.69,8,0.8,4.0254,6.1052,5
