region_user,gpcr_gene,n_panel_detected,n_panel_subclasses,frac_panel_detected,gpcr_tier_panel,n_roi_detected,n_roi_subclasses,frac_roi_detected,gpcr_tier_roi,top_panel_subclass,top_panel_mean_log2,top_panel_pct,top_panel_specificity_log2
BMAp,Adcyap1r1,8,8,1.0,universal,53,55,0.964,universal,121 MEA-BST Otp Zic2 Glut,4.966037273406982,79.04382470119522,0.2907
BMAp,Adora2a,0,8,0.0,cell_type_specific,2,55,0.036,cell_type_specific,074 MEA-BST Lhx6 Sp9 Gaba,0.0926985740661621,1.7025228292833927,0.0227
BMAp,Avpr1a,0,8,0.0,cell_type_specific,0,55,0.0,cell_type_specific,082 CEA-BST Ebf1 Pdyn Gaba,0.3434143960475921,6.1297731840367495,0.1224
BMAp,Avpr1b,0,8,0.0,cell_type_specific,0,55,0.0,cell_type_specific,121 MEA-BST Otp Zic2 Glut,0.0093121854588389,0.1593625498007968,0.0044
BMAp,Cckbr,6,8,0.75,universal,26,55,0.473,intermediate,012 MEA Slc17a7 Glut,3.312624454498291,57.98192771084337,0.0913
BMAp,Chrm2,6,8,0.75,universal,37,55,0.673,intermediate,119 SI-MA-LPO-LHA Skor1 Glut,4.591220855712891,58.30275229357799,0.9385
BMAp,Chrm4,0,8,0.0,cell_type_specific,0,55,0.0,cell_type_specific,012 MEA Slc17a7 Glut,0.048460129648447,1.0040160642570282,0.0192
BMAp,Cnr1,6,8,0.75,universal,48,55,0.873,universal,082 CEA-BST Ebf1 Pdyn Gaba,5.597784519195557,83.20413436692506,1.3178
BMAp,Crhr1,7,8,0.875,universal,30,55,0.545,intermediate,120 MEA Otp Foxp2 Glut,2.9253363609313965,52.659574468085104,0.1937
BMAp,Drd1,4,8,0.5,intermediate,17,55,0.309,intermediate,113 MEA-COA-BMA Ccdc42 Glut,2.971357822418213,51.543401698777714,0.6798
BMAp,Drd2,1,8,0.125,cell_type_specific,10,55,0.182,cell_type_specific,119 SI-MA-LPO-LHA Skor1 Glut,1.8590705394744875,28.853211009174316,1.0654
BMAp,Gabbr1,8,8,1.0,universal,55,55,1.0,universal,120 MEA Otp Foxp2 Glut,8.43860149383545,99.40159574468083,0.0008
BMAp,Gabbr2,8,8,1.0,universal,55,55,1.0,universal,012 MEA Slc17a7 Glut,8.675822257995605,99.67369477911646,0.2995
